title,main_category_manual,title_norm
"Bi và Miu","Văn học - Tiểu thuyết","bi va miu"
"Bibliographic Guide to Government Publications","Pháp luật - Chính trị","bibliographic guide to government publications"
"Bibliographie de la France","Văn học - Tiểu thuyết","bibliographie de la france"
"Bibliotheca indosinica","Lịch sử","bibliotheca indosinica"
"Big Data Cho Nhà Quản Lý","Công nghệ - Kỹ thuật","big data cho nha quan ly"
"Big Data – Công Nghệ Cốt Lõi Trong Kỷ Nguyên Số","Công nghệ - Kỹ thuật","big data cong nghe cot loi trong ky nguyen so"
"Bill Marriott – Những Quyết Định Lịch Sử Làm Nên Đế Chế Khách Sạn Thành Công Nhất Thế Giới","Kinh doanh - Kinh tế","bill marriott nhung quyet dinh lich su lam nen de che khach san thanh cong nhat the gioi"
"Binh Chủng Của Ta Vô Hạn Tiến Hóa","Tiên hiệp - Huyền huyễn","binh chung cua ta vo han tien hoa"
"Binh Pháp Tinh Hoa","Lịch sử","binh phap tinh hoa"
"Bié̂t người tâm lý học áp dụng vào đời só̂ng thực tiẽ̂n","Tâm lý học","biet nguoi tam ly hoc ap dung vao doi song thuc tien"
"Biên Niên Sử Chrestomanci 2: Các Pháp Sư Xứ Caprona","Văn học - Tiểu thuyết","bien nien su chrestomanci 2 cac phap su xu caprona"
"Biên Niên Sử Chrestomanci 3: Tuần Lễ Phù Thuỷ","Văn học - Tiểu thuyết","bien nien su chrestomanci 3 tuan le phu thuy"
"Biên niên hoạt động văn học Hội nhà văn Việt Nam","Văn học - Thơ - Tản văn","bien nien hoat dong van hoc hoi nha van viet nam"
"Biến Giao Tiếp Thành Thế Mạnh","Kỹ năng sống - Phát triển bản thân","bien giao tiep thanh the manh"
"Biết Từ Chối Chẳng Lo Thua Thiệt","Kỹ năng sống - Phát triển bản thân","biet tu choi chang lo thua thiet"
"Biết người","Kỹ năng sống - Phát triển bản thân","biet nguoi"
"Biết nuôi dưỡng thái độ tích cực","Kỹ năng sống - Phát triển bản thân","biet nuoi duong thai do tich cuc"
"Biển vẫn đợi chờ","Văn học - Tiểu thuyết","bien van doi cho"
"Biển Đông","Lịch sử","bien dong"
"Biện pháp quản lý hoạt động ứng dụng công nghệ thông tin vào dạy học tại Trường Cao đẳng công nghiệp dệt may thời trang Hà Nội","Công nghệ - Kỹ thuật","bien phap quan ly hoat dong ung dung cong nghe thong tin vao day hoc tai truong cao dang cong nghiep det may thoi trang ha noi"
"Biện pháp quản lý ứng dụng công nghệ thông tin vào dạy học tại trường trung học phổ thông Trần Phú- Hoàn Kiếm - Hà Nội","Công nghệ - Kỹ thuật","bien phap quan ly ung dung cong nghe thong tin vao day hoc tai truong trung hoc pho thong tran phu hoan kiem ha noi"
"Blank Verse","Văn học - Tiểu thuyết","blank verse"
"Blockchain – Bản Chất Của Blockchain, Bitcoin, Tiền Điện Tử, Hợp Đồng Thông Minh Và Tương Lai Của Tiền Tệ","Công nghệ - Kỹ thuật","blockchain ban chat cua blockchain bitcoin tien dien tu hop dong thong minh va tuong lai cua tien te"
"Blogger Ẩm Thực Xuyên Thành Bia Đỡ Đạn Trong Truyện Gia Đấu","Xuyên không - Trọng sinh","blogger am thuc xuyen thanh bia do dan trong truyen gia dau"
"Bogiwan – Quỷ Săn Người","Kinh dị - Thriller","bogiwan quy san nguoi"
"Boxset AI Thực Chiến (Hộp 6 Cuốn)","Công nghệ - Kỹ thuật","boxset ai thuc chien hop 6 cuon"
"Branded Content","Kinh doanh - Kinh tế","branded content"
"Branding and Marketing","Kinh doanh - Kinh tế","branding and marketing"
"Bulletin administratif","Pháp luật - Chính trị","bulletin administratif"
"Bulletin des Amis du vieux Hué","Lịch sử","bulletin des amis du vieux hue"
"Bulletin général de l'instruction publique","Giáo dục - Giáo trình","bulletin general de l instruction publique"
"Business Books","Kinh doanh - Kinh tế","business books"
"Business Week","Kinh doanh - Kinh tế","business week"
"Business-to-Business Marketing","Kinh doanh - Kinh tế","business to business marketing"
"Buzz","Kinh doanh - Kinh tế","buzz"
"Buông Rèm Pha Lê","Văn học - Tiểu thuyết","buong rem pha le"
"Buổi Sáng Diệu Kỳ Dành Cho Doanh Nhân","Kỹ năng sống - Phát triển bản thân","buoi sang dieu ky danh cho doanh nhan"
"Buổi Sáng Diệu Kỳ Dành Cho Người Bán Hàng","Kỹ năng sống - Phát triển bản thân","buoi sang dieu ky danh cho nguoi ban hang"
"Bà Ngoại Phù Thủy Và Mùa Hè Tập Sự","Thiếu nhi","ba ngoai phu thuy va mua he tap su"
"Bà Đỡ – Tình Yêu Ngày Tận Thế","Ngôn tình - Lãng mạn","ba do tinh yeu ngay tan the"
"Bài Ca Solomon","Văn học - Tiểu thuyết","bai ca solomon"
"Bài Học Giáo Dục Từ Nước Mĩ","Giáo dục - Giáo trình","bai hoc giao duc tu nuoc mi"
"Bài Học Để Đời Từ Những Doanh Nghiệp Thất Bại (2 Tập)","Kinh doanh - Kinh tế","bai hoc de doi tu nhung doanh nghiep that bai 2 tap"
"Bài Tập Ngữ Pháp Tiếng Anh: Dành Cho THPT Và Ôn Thi Đại Học","Giáo dục - Giáo trình","bai tap ngu phap tieng anh danh cho thpt va on thi dai hoc"
"Bài ca đá̂t Việt","Văn học - Thơ - Tản văn","bai ca dat viet"
"Bài giảng tâm lý học","Tâm lý học","bai giang tam ly hoc"
"Bài tập hình học 11","Giáo dục - Giáo trình","bai tap hinh hoc 11"
"Bài tập hóa học 10","Giáo dục - Giáo trình","bai tap hoa hoc 10"
"Bài tập kinh tế học vi mô","Kinh doanh - Kinh tế","bai tap kinh te hoc vi mo"
"Bài tập lập trình Pascal","Công nghệ - Kỹ thuật","bai tap lap trinh pascal"
"Bài tập lập trình hướng đối tượng với C++","Công nghệ - Kỹ thuật","bai tap lap trinh huong doi tuong voi c"
"Bài tập nguyên lý kinh tế vĩ mô","Kinh doanh - Kinh tế","bai tap nguyen ly kinh te vi mo"
"Bài tập ngôn ngữ lập trình Pascal","Công nghệ - Kỹ thuật","bai tap ngon ngu lap trinh pascal"
"Bài tập ngữ pháp tiếng Anh nâng cao","Giáo dục - Giáo trình","bai tap ngu phap tieng anh nang cao"
"Bài tập đại só̂ 10","Giáo dục - Giáo trình","bai tap dai so 10"
"Bàn Tay Đen","Trinh thám - Pháp y","ban tay den"
"Bàn Về Binh Pháp Tôn Tử","Lịch sử","ban ve binh phap ton tu"
"Bàn tay hình trăng khuyết","Văn học - Tiểu thuyết","ban tay hinh trang khuyet"
"Bàn tròn trí mạng","Trinh thám - Pháp y","ban tron tri mang"
"Bàn v¿ m¿i liên h¿ gi¿a Tôn giáo, Giáo d¿c và V¿n hóa","Tôn giáo - Tâm linh","ban v mai lien h gi a ton giao giao d c va v n hoa"
"Bàn về chiến lược con người","Kỹ năng sống - Phát triển bản thân","ban ve chien luoc con nguoi"
"Bàn về chiến lược phát triển khoa học và công nghệ Việt Nam đến năm 2000","Công nghệ - Kỹ thuật","ban ve chien luoc phat trien khoa hoc va cong nghe viet nam den nam 2000"
